Year,Quarter,Month,Day,Sum of Unemployment,forecastValue,confidenceHighBound,confidenceLowBound,Earliest Date
2010,Qtr 1,February,5,387.869,,,,2010-02-05 00:00:00
2010,Qtr 1,February,12,387.869,,,,2010-02-12 00:00:00
2010,Qtr 1,February,19,387.869,,,,2010-02-19 00:00:00
2010,Qtr 1,February,26,387.869,,,,2010-02-26 00:00:00
2010,Qtr 1,March,5,387.869,,,,2010-03-05 00:00:00
2010,Qtr 1,March,12,387.869,,,,2010-03-12 00:00:00
2010,Qtr 1,March,19,387.869,,,,2010-03-19 00:00:00
2010,Qtr 1,March,26,387.869,,,,2010-03-26 00:00:00
2010,Qtr 2,April,2,382.397,,,,2010-04-02 00:00:00
2010,Qtr 2,April,9,382.397,,,,2010-04-09 00:00:00
2010,Qtr 2,April,16,382.397,,,,2010-04-16 00:00:00
2010,Qtr 2,April,23,382.397,,,,2010-04-23 00:00:00
2010,Qtr 2,April,30,382.397,,,,2010-04-30 00:00:00
2010,Qtr 2,May,7,382.397,,,,2010-05-07 00:00:00
2010,Qtr 2,May,14,382.397,,,,2010-05-14 00:00:00
2010,Qtr 2,May,21,382.397,,,,2010-05-21 00:00:00
2010,Qtr 2,May,28,382.397,,,,2010-05-28 00:00:00
2010,Qtr 2,June,4,382.397,,,,2010-06-04 00:00:00
2010,Qtr 2,June,11,382.397,,,,2010-06-11 00:00:00
2010,Qtr 2,June,18,382.397,,,,2010-06-18 00:00:00
2010,Qtr 2,June,25,382.397,,,,2010-06-25 00:00:00
2010,Qtr 3,July,2,379.286,,,,2010-07-02 00:00:00
2010,Qtr 3,July,9,379.286,,,,2010-07-09 00:00:00
2010,Qtr 3,July,16,379.286,,,,2010-07-16 00:00:00
2010,Qtr 3,July,23,379.286,,,,2010-07-23 00:00:00
2010,Qtr 3,July,30,379.286,,,,2010-07-30 00:00:00
2010,Qtr 3,August,6,379.286,,,,2010-08-06 00:00:00
2010,Qtr 3,August,13,379.286,,,,2010-08-13 00:00:00
2010,Qtr 3,August,20,379.286,,,,2010-08-20 00:00:00
2010,Qtr 3,August,27,379.286,,,,2010-08-27 00:00:00
2010,Qtr 3,September,3,379.286,,,,2010-09-03 00:00:00
2010,Qtr 3,September,10,379.286,,,,2010-09-10 00:00:00
2010,Qtr 3,September,17,379.286,,,,2010-09-17 00:00:00
2010,Qtr 3,September,24,379.286,,,,2010-09-24 00:00:00
2010,Qtr 4,October,1,381.388,,,,2010-10-01 00:00:00
2010,Qtr 4,October,8,381.388,,,,2010-10-08 00:00:00
